id,losovani_id,poslanec_id,ministr_id,vec
5520,231,5302,5384,ve věci zpoždění plateb VZP lékařům
5521,231,360,5384,ve věci protiteroristických opatření
5522,232,5295,5326,ve věci dopadu nařízení EU 785/2004 na malé letectví
5523,232,5321,211,ve věci doplatku na inzulín
5524,232,136,5326,ve věci dopadu nařízení EU 785/2004 na malé letectví
5525,232,266,5383,ve věci spisu důstojníků STB
5526,232,266,5383,ve věci náhrad za odposlechy
5527,232,401,211,ve věci financování zdravotnictví
5528,232,401,5402,ve věci výstavby Moravskoslezské vědecké knihovny
5529,232,401,5402,ve věci církevních restitucí
5530,233,54,5384,ve věci útěků vysoce nebezpečných pacientů z léčeben
5531,233,266,5384,ve věci případu pěti na stole v českých
5532,233,401,5384,ve věci Unipetrolu
5533,233,401,5384,ve věci územně - správního členění státu
5534,233,437,5384,ve věci privatizace Unipetrolu
5535,233,371,5384,ve věci privatizace Unipetrolu
5536,233,5375,5384,ve věci privatizace Unipetrolu
5537,233,347,5384,ve věci nestandardních postupů při privatizaci Unipetrolu
5538,232,5256,5383,ve věci policejního monitoringu neonacistické a komunistické scény v ČR
5539,232,5256,16,ve věci stabilizace situace v českém paralympijském hnutí
5540,232,5256,416,ve věci angažovanosti v ČR v rámci EU ve vztahu k lidským právům na Kubě
5541,232,5256,211,"ve věci návrhu ""úsporných"" opatření v rámci ministerstva zdravotnictví"
5542,232,5256,211,ve věci rozhodnutí Úřadu na ochranu hospodářské soutěže k výběrovému řízení na inf. systém VFN Praha
5543,232,5256,211,ve věci výběrových řízení na informační systém fakultních nemocnic
5544,232,348,5383,ve věci prodeje uprchlického tábora v Nýrsku
5545,232,4,5383,ve věci archivního zákona
5546,232,347,295,ve věci NP Šumava
5547,232,5306,5294,ve věci uzavření hotelu Diana ve Velkých Losinách
5548,232,348,5383,ve věci nákupu benzínu od Beny
5549,232,5376,211,ve věci lékové politiky 3
5550,232,421,211,ve věci stavu českého zdravotnictví I.
5551,232,421,211,ve věci stavu českého zdravotnictví II.
5552,232,421,211,ve věci Všeobecné zdravotní pojišťovny
5553,232,406,239,ve věci čerpání peněz z ESF z opatření 1.2
5554,232,406,239,ve věci zákona o ucelené rehabilitaci
5555,232,5273,403,ve věci řízení před obchodními rejstříky
5556,239,5256,5326,ve věci rychlostní komunikace R-35
5557,239,5256,5402,ve věci prodeje kostela sv. Michala Praha 1
5558,239,421,239,ve věci očkování proti chřipce
5559,239,421,239,ve věci zdravotních knížek
5560,239,5259,5391,ve věci výběrových řízení na MIČR
5561,239,5259,5391,ve věci vyhledávání v registrech
5562,239,437,5383,ve věci práce policie okresu Nový Jičín
5563,239,266,422,ve věci strategie obnovy území města Litovle
5564,239,266,239,ve věci exodu slovenských Rómů do České republiky
5565,239,266,5383,ve věci exodu slovenských Rómů do České republiky
5566,239,266,5326,ve věci ztrát Českých aerolinií
5567,239,266,5294,ve věci dotací českým a moravským vinařům
5568,239,266,239,ve věci příprav ČR proti ptačí chřipce
