id,bod,datum,votes_pro,votes_proti,votes_zdrzel,votes_nehlasoval,prihlaseno,vysledek,nazev
53577,106,1304546400,124,0,25,0,149,A,Zpr%E1va%20o%20petic%EDch%20za%20obdob%ED%20od%201.%207.%202010%20do%2031.%2012.%202010
53578,107,1304546400,101,2,45,2,150,A,V%FDro%u010Dn%ED%20zpr%E1va%20o%20%u010Dinnosti%20a%20%FA%u010Detn%ED%20z%E1v%u011Brka%20SFDI%20za%20rok%202010
53579,108,1304546400,119,0,29,3,151,A,Zpr%E1va%20o%20stavu%20vys%EDl%E1n%ED%20a%20%u010Dinnosti%20Rady%20RTV%20za%20rok%202010
53580,40,1304546400,121,0,30,0,151,A,Novela%20z.%20o%20ve%u0159ejn%FDch%20zak%E1zk%E1ch%20-%20EU
53581,93,1304546400,127,0,31,0,158,A,N%E1vrh%20na%20zm%u011Bny%20ve%20slo%u017Een%ED%20org%E1n%u016F%20Poslaneck%E9%20sn%u011Bmovny
53582,93,1304546400,133,1,25,0,159,A,N%E1vrh%20na%20zm%u011Bny%20ve%20slo%u017Een%ED%20org%E1n%u016F%20Poslaneck%E9%20sn%u011Bmovny
53583,95,1304546400,130,3,26,0,159,A,N%E1vh%20na%20volbu%20p%u0159edsedy%20DR%20SZIF
53584,96,1304546400,130,2,27,0,159,A,N%E1vrh%20na%20volbu%20%u010Dlen%u016F%20DR%20SZIF
53585,97,1304546400,140,2,17,0,159,A,N%E1vrh%20na%20volbu%20%u010Dlen%u016F%20DR%20PF%20%u010CR
53586,0,1307224800,101,12,30,7,150,A,Po%u0159ad%20sch%u016Fze
53587,0,1307224800,89,16,29,18,152,A,Po%u0159ad%20sch%u016Fze
53588,0,1307224800,111,12,13,16,152,A,Po%u0159ad%20sch%u016Fze
53589,102,1307224800,135,1,22,1,159,A,Zpr%E1va%20o%20inflaci%20-%20leden%202011
53590,102,1307224800,128,2,33,4,167,A,Zpr%E1va%20o%20inflaci%20-%20leden%202011
