id,titul_pred,prijmeni,jmeno,titul_za,poslanec_2010,preferencni,novacek,interpelace_source_count,interpelace_target_count,zakony_predkladatel_count,absence_count,nazor_count,possible_votes_count,vystoupeni_count,strana_id,kraj_id,from_date,to_date,activity_index
154,MUDr.,Syka,Martin, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
155,Ing.,Sýkora,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
156,Ing.,Šafařík,Pavel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
157,Mgr.,Šimánek,Jaromír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
158,RNDr.,Šoler,Jiří,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
159,RNDr.,Špaček,Radim, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
160,MUDr.,Štambera,Dalibor, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
161,Ing.,Štěrba,Tomáš, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
162,Doc. RSDr.,Štrait,Jaroslav,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
163,Ing.,Šuman,Vladimír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
164,Ing.,Tlustý,Vlastimil,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
165,Ing.,Tollner,Pavel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
166,PaedDr.,Tomanová,Hana, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
167,Prof. Ing.,Trnka,František,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
168,PhDr.,Trojan,Václav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
169,Doc. Ing.,Trojan,Zdeněk,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
170,Ing.,Třebický,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
171,PhDr.,Uhde,Milan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
172,Ing.arch.,Ullmann,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
173, ,Unger,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
174,Ing.,Uřičář,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
175,Ing.,Vačkář,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
176, ,Valach,Vítězslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
177, ,Valenta,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
178, ,Váca,Oldřich, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
179, ,Váchalová,Anna, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
180, ,Vik,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
181,PhDr.,Vlach,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
182,RNDr.,Vlček,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
183,Ing.,Vlček,Vlastimil, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
184,"",Vlček,Zdeněk,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
185,PhDr.,Volák,Stanislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
186,Doc. Ing.,Vorlíček,Zdeněk,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
187,PhDr.,Votava,Vratislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
188,Ing.,Vraný,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
189, ,Vrcha,Oldřich, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
190, ,Vrzal,Ivan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
191,RNDr.,Vychodil,Otakar, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
192,JUDr.,Vyvadil,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
193,JUDr.,Výborný,Miloslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
194, ,Wagner,Jozef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
195, ,Zahradníček,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
196,Mgr.,Zeman,Eduard, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
197,JUDr.,Zemina,Ondřej, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
198,Ing.,Zima,Anton, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
199,Ing.,Zubek,Leopold, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
200, ,Žižka,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
201,MUDr.,Lom,Petr,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
202,JUDr.,Janů,Ivana, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
203,PhDr.,Cisár,Vladimír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
204,"",Čech,František,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
205,PhDr.,Honický,Ivo,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
206,Ing.,Brynychová,Ludmila, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
207, ,Bašta,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
208,MUDr.,Čevela,Rostislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
209, ,Dostál,Pavel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
210,Ing.,Ekert,Milan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
211,doc. MUDr.,Emmerová,Milada,CSc.,1,1,0,2,0,30,867,1894,3289,46,2,6,1275084000,1350684000,243
212,MUDr.,Gavlasová,Jana,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
